PWSID,PWS_Name,Primacy_FINAL,Final_inst_update,Inst_Subtype
CA4100583,BIANCHI FLOWERS INC,DISTRICT 17 - SANTA CLARA,Private - Ancillary,Agricultural_industrial
CA4100551,MARCHI CENTRAL FARM,DISTRICT 17 - SANTA CLARA,Private - Ancillary,Agricultural_industrial
CA4100540,OKU INCORPORATED,DISTRICT 17 - SANTA CLARA,Private - Ancillary,Agricultural_industrial
CA4200924,EL RANCHO TAJIGUAS,LPA72 - SANTA BARBARA COUNTY,Private - Ancillary,Agricultural_industrial
CA4300611,CASA DE FRUTA WATER SYSTEM,DISTRICT 17 - SANTA CLARA,Private - Ancillary,Agricultural_industrial
CA5000579,FOSTER FARMS #5,LPA80 - STANISLAUS COUNTY,Private - Ancillary,Agricultural_industrial
CA5000313,BUEHNER WATER SYSTEM,LPA80 - STANISLAUS COUNTY,Private - Ancillary,Agricultural_industrial
CA5601201,LIMONEIRA RANCH #1,DISTRICT 06 - SANTA BARBARA,Private - Ancillary,Agricultural_industrial
CA1000570,JUVENILE JUSTICE CAMPUS,DISTRICT 23 - FRESNO,County,Carceral
CA1502320,LERDO SHERIFF S FACILITY,DISTRICT 12 - VISALIA,County,Carceral
CA1502315,CAMP OWEN WATER SYSTEM,DISTRICT 19 - TEHACHAPI,County,Carceral
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,DISTRICT 22 - ANGELES,County,Carceral
CA2400172,JOHN LATORACCA CORRECTIONAL FACILITY,DISTRICT 11 - MERCED,County,Carceral
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],LPA64 - SACRAMENTO COUNTY,County,Carceral
CA3600215,GILBERT STREET COMPLEX,LPA66 - SAN BERNARDINO COUNTY,County,Carceral
CA3601182,HIGH DESERT DETENTION CENTER,LPA66 - SAN BERNARDINO COUNTY,County,Carceral
CA4400762,SHERIFF'S REHAB,LPA74 - SANTA CRUZ COUNTY,County,Carceral
CA5700797,MONROE/LEINBERGER CNTR - WATERS,LPA87 - YOLO COUNTY,County,Carceral
CA1010800,CAL FIRE - MIRAMONTE CONSERVATION CAMP,DISTRICT 23 - FRESNO,State,Carceral
CA1210800,CAL FIRE-EEL RIVER CONSERVATION CAMP,DISTRICT 01 - KLAMATH,State,Carceral
CA1310800,CALIPATRIA STATE PRISON,DISTRICT 26 - IMPERIAL,State,Carceral
CA1310801,CENTINELA STATE PRISON,DISTRICT 26 - IMPERIAL,State,Carceral
CA1410800,CDF - OWENS VALLEY CONSERVATION CAMP,DISTRICT 13 - SAN BERNARDINO,State,Carceral
CA1510802,KERN VALLEY STATE PRISON,DISTRICT 12 - VISALIA,State,Carceral
CA1510801,WASCO ST. PRISON RECEPTION CTR,DISTRICT 12 - VISALIA,State,Carceral
CA1510800,CCI - TEHACHAPI,DISTRICT 19 - TEHACHAPI,State,Carceral
CA1710800,CDF-KONOCTI CONSERVATION CAMP NO. 27,DISTRICT 03 - MENDOCINO,State,Carceral
CA1805004,CDCR-HIGH DESERT STATE PRISON,DISTRICT 02 - LASSEN,State,Carceral
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,DISTRICT 15 - METROPOLITAN,State,Carceral
CA2010801,VALLEY STATE PRISON,DISTRICT 11 - MERCED,State,Carceral
CA2010800,CENTRAL CA WOMENS FACILITY,DISTRICT 11 - MERCED,State,Carceral
CA2210851,CDF & FP - MT. BULLION,DISTRICT 11 - MERCED,State,Carceral
CA2710850,CORRECTIONAL TRAINING FACILITY - SOLEDAD,DISTRICT 05 - MONTEREY,State,Carceral
CA2710851,SALINAS VALLEY STATE PRISON,DISTRICT 05 - MONTEREY,State,Carceral
CA2910013,WASHINGTON RIDGE C.C.,DISTRICT 09 - SACRAMENTO,State,Carceral
CA3310801,BAUTISTA CC NO. 36,DISTRICT 20 - RIVERSIDE,State,Carceral
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,DISTRICT 20 - RIVERSIDE,State,Carceral
CA3310802,CHUCKAWALLA VALLEY STATE PRISON,DISTRICT 20 - RIVERSIDE,State,Carceral
CA3410032,FOLSOM STATE PRISON,DISTRICT 09 - SACRAMENTO,State,Carceral
CA3610850,CALIFORNIA INSTITUTION FOR MEN,DISTRICT 13 - SAN BERNARDINO,State,Carceral
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,DISTRICT 13 - SAN BERNARDINO,State,Carceral
CA3610800,CDF - OAK GLEN CONSERVATION CAMP,DISTRICT 13 - SAN BERNARDINO,State,Carceral
CA3610801,CDF - PILOT ROCK CONSERVATION CAMP,DISTRICT 13 - SAN BERNARDINO,State,Carceral
CA3710802,LA CIMA FIRE CENTER,DISTRICT 26 - IMPERIAL,State,Carceral
CA3710800,PUERTA LA CRUZ CC #14,DISTRICT 26 - IMPERIAL,State,Carceral
CA3910803,CDCR CALIFORNIA HEALTH CARE FACILITY,DISTRICT 10 - STOCKTON,State,Carceral
CA4010832,ATASCADERO STATE HOSPITAL,DISTRICT 06 - SANTA BARBARA,State,Carceral
CA4010830,CALIFORNIA MENS COLONY,DISTRICT 06 - SANTA BARBARA,State,Carceral
CA4810800,CALIFORNIA STATE PRISON - SOLANO,DISTRICT 04 - SAN FRANCISCO,State,Carceral
CA4810801,DELTA CONSERVATION CAMP,DISTRICT 04 - SAN FRANCISCO,State,Carceral
CA5410800,CAL FIRE - MOUNTAIN HOME CNSRVTN CAMP,DISTRICT 24 - TULARE,State,Carceral
CA5510852,CAL FIRE BASELINE CONSERVATION CAMP,DISTRICT 11 - MERCED,State,Carceral
CA5510851,CDCR - SIERRA CONSERVATION CENTER,DISTRICT 11 - MERCED,State,Carceral
CA4110005,GUADALUPE VALLEY MID,DISTRICT 17 - SANTA CLARA,Special Act District,City
CA4310022,GREAT OAKS WC INC,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4310011,SAN JOSE WATER,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910186,CAL-AM WATER COMPANY - DUARTE,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA2010013,CAL AM - COARSEGOLD,DISTRICT 11 - MERCED,Investor Owned Utility,Class A
CA2010014,CAL AM - GOLDSIDE,DISTRICT 11 - MERCED,Investor Owned Utility,Class A
CA2010007,CAL AM - OAKHURST,DISTRICT 11 - MERCED,Investor Owned Utility,Class A
CA2010012,CAL AM - RAYMOND,DISTRICT 11 - MERCED,Investor Owned Utility,Class A
CA2410008,CAL AM - MEADOWBROOK,DISTRICT 11 - MERCED,Investor Owned Utility,Class A
CA2710006,CAL AM WATER COMPANY - AMBLER PARK,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2701202,CAL AM WATER COMPANY - CHUALAR,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710004,CAL AM WATER COMPANY - MONTEREY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710021,CAL AM WATER COMPANY - TORO,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710022,CAL AM WATER COMPANY - HIDDEN HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2702004,CAL AM WATER COMPANY - RALPH LANE,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A
CA2701257,CAL AM WATER COMPANY - GARRAPATA,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A
CA3110150,CAL AM - WEST PLACER,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410023,CAL AM - FRUITRIDGE VISTA,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410047,CAL AM - WALNUT GROVE,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410031,CAL AM - ANTELOPE,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410045,CAL AM - ARDEN,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410012,CAL AM - ISLETON,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410013,CAL AM - LINCOLN OAKS,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410017,CAL AM - PARKWAY,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410010,CAL AM - SUBURBAN ROSEMONT,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3710001,CAL-AM WATER CORONADO,DISTRICT 14 - SAN DIEGO,Investor Owned Utility,Class A
CA4210700,"AMERICAN WATER O&M, LLC - VSFB",DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4910023,CALIFORNIA-AMERICAN LARKFIELD (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA4910024,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA5610040,CAL AMERICAN WATER CO,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA5610021,CAL AMERICAN WATER COMPANY - PIRU,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA5610010,CAL AMERICAN WC - RIO PLAZA,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA5610081,CAL AMERICAN WC - LAS POSAS ESTATES,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA5700712,CAL AM - DUNNIGAN,LPA87 - YOLO COUNTY,Investor Owned Utility,Class A
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A
CA0410002,CAL-WATER SERVICE CO.-CHICO,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA1010024,CWS - SELMA,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA1510003,CWS - BAKERSFIELD,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA1510055,CWS - NORTH GARDEN,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA1500333,CWS - FREMONT VALLEY,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510033,CWS - KERNVILLE,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510049,CWS - LAKELAND,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510039,CWS SOUTHLAKE SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1500374,CWS-GRAND OAKS WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1510043,CWS-ONYX WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class A
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA2110007,COAST SPRINGS - CAL. WATER SERVICE (PUC),DISTRICT 25 - MARIN,Investor Owned Utility,Class A
CA2710009,CWSC KING CITY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710013,CWSC LAS LOMAS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710019,CWSC OAK HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710010,CWSC SALINAS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2710012,CWSC SALINAS HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A
CA2702198,FOOTHILL ESTATES WS,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A
CA3910001,CALIFORNIA WATER SERVICE - STOCKTON,DISTRICT 10 - STOCKTON,Investor Owned Utility,Class A
CA4110006,CALIFORNIA WATER SERVICE - BEAR GULCH,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4110008,CALIFORNIA WATER SERVICE - SAN MATEO,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4310001,CWSC LOS ALTOS SUBURBAN,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A
CA4910018,ARMSTRONG VALLEY-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA4900546,HAWKINS WATER CO-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA4900785,NOEL HEIGHTS-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA4900514,RANCHO DEL PARADISO-CAL WATER SVC (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A
CA5400935,CWS - MULLEN WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA5410041,CWS - TULCO WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA5410016,CWS - VISALIA,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A
CA5610016,CALIFORNIA WATER SERVICE CO - WESTLAKE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA5810001,CAL-WATER SERVICE CO.-MARYSVILLE,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A
CA1310003,GSWC - CALIPATRIA,DISTRICT 26 - IMPERIAL,Investor Owned Utility,Class A
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class A
CA1910024,GSWC - CLAREMONT,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910142,GSWC-SAN DIMAS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910212,GSWC-SOUTH ARCADIA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910223,GSWC-SOUTH SAN GABRIEL,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910004,GSWC - ARTESIA,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910011,"GSWC - BELL, BELL GARDENS",DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910030,GSWC - CULVER CITY,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910155,GSWC - SOUTHWEST,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910077,GSWC - FLORENCE/GRAHAM,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910195,GSWC - HOLLYDALE,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910098,GSWC - NORWALK,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA1910072,GSWC - WILLOWBROOK,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A
CA3610043,GOLDEN STATE WATER CO - BARSTOW,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A
CA3610108,GOLDEN STATE WATER CO - LUCERNE,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A
CA3600279,GOLDEN STATE WATER DESERT VIEW,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A
CA4010023,GOLDEN STATE WATER COMPANY - EDNA,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4010040,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4010017,GOLDEN STATE WATER COMPANY - LOS OSOS,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4010018,GOLDEN STATE WATER COMPANY - NIPOMO,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA4200560,SISQUOC,LPA72 - SANTA BARBARA COUNTY,Investor Owned Utility,Class A
CA5100107,GOLDEN STATE WATER CO. - ROBBINS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A
CA5610059,GOLDEN STATE WATER COMPANY - SIMI VALLEY,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A
CA3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A
CA3600010,LIBERTY UTILITIES APPLE VALLEY,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A
CA1910241,LIBERTY UTILITIES - MESA CREST,DISTRICT 16 - CENTRAL,Investor Owned Utility,Class A
CA1910021,LIBERTY UTILITIES - COMPTON,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910161,LIBERTY UTILITIES - LYNWOOD,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A
CA2710001,ALCO WATER SERVICE,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class B
CA1010001,BAKMAN WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA2010009,BAKMAN WATER-ROLLING HILLS,DISTRICT 11 - MERCED,Investor Owned Utility,Class B
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA0410009,DEL ORO WATER CO.-MAGALIA,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA0410011,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,DISTRICT 23 - FRESNO,Investor Owned Utility,Class B
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA1200671,BENBOW-DEL ORO W.C.,DISTRICT 01 - KLAMATH,Investor Owned Utility,Class B
CA1210007,DEL ORO WATER CO-FERNDALE,DISTRICT 01 - KLAMATH,Investor Owned Utility,Class B
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA4500022,DEL ORO WATER CO. - HAT CREEK DISTRICT,DISTRICT 02 - LASSEN,Investor Owned Utility,Class B
CA4510015,DEL ORO WATER CO.-JOHNSON PARK,DISTRICT 02 - LASSEN,Investor Owned Utility,Class B
CA5200574,DEL ORO WC - LARKSPUR MEADOWS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B
CA5410034,DEL ORO CALIFORNIA PINES DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA5400767,DEL ORO EAST PLANO DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
CA5400553,DEL ORO TRAVER DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B
