PWSID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNER_CODE_SDWIS,OWNERSHIP_KD,OWNERSHIP_KD_BI,TYPE,TYPE_consolidated,JURISDICTION_9,JURISDICTION_10,SOURCE_SDWIS,Source_coded_18,POP_TOTAL,SC_TOTAL,FEE_CODE_062018,FEE_FULL_062018,CWStype_fed_062018,CWStype_state062018,CWStype_state_name2018,WQ_REG,COMPLIANCE_STATUS,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS, , 
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,50,16,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,2,2,,
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,SW,SW,25,167,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,70,31,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SW,SW,2650,485,SC,Small Community,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,7,1,8,,
CA0210002,KIRKWOOD MEADOWS PUBILC UTILIT,ALPINE,Local,L,Local,Public,PUD,PUD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,7851,858,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,Mixed (Public/Private),M,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SWP,SWP,136,62,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0300011,SUTTER PINES MHP,AMADOR,Private,P,Private,Private,MHP,MHP,MHP,MHP,GU,GW,40,19,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,Local,L,Local,Public,CSD,CSD,SPECIAL DISTRICT,SPECIAL DISTRICT,GU,GW,160,80,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,Mixed (Public/Private),M,Local,Public,CSD,CSD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,100,65,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0300024,TABEAU MOBILE HOME PARK,AMADOR,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,25,22,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,2,2,,
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,Private,P,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,2000,190,SC,Small Community,C,C,Community,SWRCB-DISTRICT,RETURNED TO COMPLIANCE,3,NA,3,,
CA0300053,RANCHO DEL ORO,AMADOR,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,34,24,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,30,22,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0310001,CITY OF JACKSON,AMADOR,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,4686,2125,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,1,1,,
CA0310002,"AWA, IONE",AMADOR,Local,L,Local,Public,Special Act District,Special Act District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,6420,1837,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,1,NA,1,,
CA0310003,"AWA, SUTTER CREEK",AMADOR,Local,L,Local,Public,Special Act District,Special Act District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,5084,1609,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0310004,"PLYMOUTH, CITY OF",AMADOR,Local,L,Local,Public,City,City,CITY,CITY,SWP,SWP,1060,495,SC,Small Community,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,1,NA,1,,
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,Local,L,Local,Public,CSD,CSD,SPECIAL DISTRICT,SPECIAL DISTRICT,SWP,SWP,846,386,DAVCS,Disadvantaged Small Community Water System,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,1,NA,1,,
CA0310006,RIVER PINES PUD,AMADOR,Local,L,Local,Public,PUD,PUD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,510,216,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,Local,L,Local,Public,MUD,MUD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,255,211,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0310011,FIRST MACE MEADOW # 1,AMADOR,Local,L,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,SWP,SWP,838,337,SC,Small Community,C,C,Community,SWRCB-DISTRICT,RETURNED TO COMPLIANCE,3,NA,3,,
CA0310012,AWA BUCKHORN PLANT,AMADOR,Local,L,Local,Public,Special Act District,Special Act District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,9938,2759,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,1,NA,1,,
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,SWP,SWP,200,81,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,188,51,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0310020,THE OAKS MOBILE HOME PARK,AMADOR,Private,P,Private,Private,MHP,MHP,MHP,MHP,SW,SW,600,213,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,150,49,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,Local,L,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,31,16,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,Local,L,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,92,42,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,399,168,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400008,GRAN MUTUAL WATER CO,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,200,85,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0400012,FARM LABOR HOUSING,BUTTE,Local,L,Local,Public,County Dept. (other),County Dept. (other),COUNTY,COUNTY,GW,GW,460,144,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,100,97,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,2,2,,
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,Local,L,Local,Public,Water District,Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,297,115,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,Local,L,Local,Public,CSD,CSD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,99,36,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,74,35,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400020,PLEASANT GROVE MHP,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,327,88,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,2,2,,
CA0400021,ROBINSON'S CORNER MHP,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,20,22,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400023,GOLDEN OAKS MOBILE ESTATES,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,34,52,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400026,MEADOWBROOK OAKS,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,50,25,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400027,FOOTHILL MOBILE HOME PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,180,127,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400028,BIG BEND MOBILE HOME PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,85,35,,#N/A,C,C,Community,LPA,RETURNED TO COMPLIANCE,1,1,2,,
CA0400030,GOLDEN FEATHER MHP,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,275,100,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0400036,MOUNTAIN VIEW MOBILE ACRES MHP LLC,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,230,129,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,250,163,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400041,FOREST RANCH MOBILE PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,25,16,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400042,FOREST VILLAGE LLC,BUTTE,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,34,21,,#N/A,C,C,Community,LPA,RETURNED TO COMPLIANCE,1,NA,1,,
CA0400046,PONDEROSA MOBILE ESTATES,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,70,62,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400049,BUTTE CREEK MHP,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,100,33,SC,Small Community,C,C,Community,LPA,OUT-OF-COMPLIANCE,2,NA,2,,
CA0400051,DINGERVILLE USA PARK,BUTTE,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,447,80,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0400078,FOREST KNOLLS MUTUAL WATER CO,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,41,16,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0400081,FEATHER RIDGE ESTATES WATER CO,BUTTE,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,12,32,,#N/A,C,C,Community,LPA,OUT-OF-COMPLIANCE,1,1,2,,
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,Private,P,Private,Private,PA,PA,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,40,17,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,50,24,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0400149,HUMBOLDT WOODLANDS MUTUAL,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,75,32,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400151,KEEFER CREEK ESTATES MUTUAL,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,95,56,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0400155,BIGGERS GLEN MUTUAL WATER CO,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,25,29,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SW,SW,1310,351,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0409181,BLUE OAK TERRACE MUTUAL,BUTTE,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,50,16,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0409183,SIERRA MOON WATER COMPANY,BUTTE,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,120,66,,#N/A,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0410001,CITY OF BIGGS,BUTTE,Local,L,Local,Public,City,City,CITY,CITY,GW,GW,1805,650,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410002,CAL-WATER SERVICE CO.-CHICO,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,GW,GW,105660,28249,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,Local,L,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,1558,472,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410004,CITY OF GRIDLEY,BUTTE,Local,L,Local,Public,City,City,CITY,CITY,GW,GW,6608,2077,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SW,SW,10556,3574,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410006,SFWP-MINERS RANCH,BUTTE,Local,L,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,24875,6772,DAVCL,Disadvantaged Large Community Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,Local,L,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,26032,10063,DAVCL,Disadvantaged Large Community Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410008,THERMALITO WATER & SEWER DISTRICT,BUTTE,Local,L,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,9858,2899,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,GW,GW,960,275,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SW,SW,11324,4752,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410012,SFWP-BANGOR,BUTTE,Local,L,Local,Public,Irrigation District,Irrigation District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,76,22,DAVCS,Disadvantaged Small Community Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,Private,P,Private,Private,IOU,IOU,PRIVATE-IOU,PRIVATE-IOU,SW,SW,568,157,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,CALAVERAS,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,GW,GW,125,38,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,GW,GW,99,70,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0500068,DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,99,42,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0500075,LAKESIDE MOBILE ESTATES,CALAVERAS,Private,P,Private,Private,MHP,MHP,MHP,MHP,GW,GW,54,24,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,NA,0,,
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,Private,P,Private,Private,Private,Private,PRIVATE,PRIVATE,SW,SW,150,13,SC,Small Community,C,C,Community,LPA,IN COMPLIANCE,0,1,1,,
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,Local,L,Local,Public,PUD,PUD,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,4300,1635,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510002,CALAVERAS PUD,CALAVERAS,Local,L,Local,Public,PUD,PUD,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,6198,1903,DAVCL,Disadvantaged Large Community Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510003,"ANGELS, CITY OF",CALAVERAS,Local,L,Local,Public,City,City,CITY,CITY,SW,SW,3836,1777,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,RETURNED TO COMPLIANCE,1,NA,1,,
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,134,48,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510005,CCWD - WEST POINT,CALAVERAS,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,988,577,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510006,CCWD - JENNY LIND,CALAVERAS,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,9592,3799,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,Private,P,Private,Private,MWC,MWC,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,SWP,SWP,5100,1716,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510010,VALLEY SPRINGS PUD,CALAVERAS,Local,L,Local,Public,PUD,PUD,SPECIAL DISTRICT,SPECIAL DISTRICT,GW,GW,900,262,DAVCS,Disadvantaged Small Community Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,Private,P,Private,Private,PA,PA,PRIVATE- MUT BENEFIT,PRIVATE- MUT BENEFIT,SWP,SWP,270,296,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,Local,L,Local,Public,MUD,MUD,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,180,448,SC,Small Community,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,1,NA,1,,
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,12484,6070,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0510017,CCWD - COPPER COVE,CALAVERAS,Local,L,Local,Public,County Water District,County Water District,SPECIAL DISTRICT,SPECIAL DISTRICT,SW,SW,4416,2568,C1,Large Water System,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,COLUSA,Local,L,Local,Public,CSA,CSA,COUNTY,COUNTY,GW,GW,250,66,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0600008,COLUSA CO. WWD #1 - GRIMES,COLUSA,Local,L,Local,Public,CWWD,CWWD,COUNTY,COUNTY,GW,GW,381,104,SC,Small Community,C,C,Community,SWRCB-DISTRICT,OUT-OF-COMPLIANCE,24,NA,24,,
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,Private,P,Local,Public,CSA,CSA,COUNTY,COUNTY,GW,GW,246,88,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
CA0600013,COLUSA CO. WWD #2 - PRINCETON,COLUSA,Local,L,Local,Public,CWWD,CWWD,COUNTY,COUNTY,GW,GW,356,118,SC,Small Community,C,C,Community,SWRCB-DISTRICT,IN COMPLIANCE,0,NA,0,,
