Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,C,D1,TD,BUTTE  ,GW
CA0400003,HARTLEY MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW
CA0400008,GRAN MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400012,FARM LABOR HOUSING,C,D2,T2,BUTTE  ,GW
CA0400013,MERRY MOUNTAIN MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400014,LAKE MADRONE WATER DISTRICT,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400019,OROVILLE MOBILE HOME PARK,C,D1,TD,BUTTE  ,GW
CA0400020,PLEASANT GROVE MHP,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400021,ROBINSON'S CORNER MHP,C,D1,TD,BUTTE  ,GW
CA0400023,GOLDEN OAKS MOBILE HOME PARK,C,D1,TD,BUTTE  ,GW
CA0400026,MEADOWBROOK OAKS,C,D1,TD,BUTTE  ,GW
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,C,D1,TD,BUTTE  ,GW
CA0400030,GOLDEN FEATHER MHP,C,D1,TD,BUTTE  ,GW
CA0400040,ALMOND GROVE MOBILE PARK,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400042,FOREST VILLAGE LLC,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400051,DINGERVILLE USA PARK,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400078,FOREST KNOLLS MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,C,D1,TD,BUTTE  ,GW
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,C,D1,TD,BUTTE  ,GW
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400149,HUMBOLDT WOODLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400151,KEEFER CREEK ESTATES,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400155,BIGGERS GLEN MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,C,D2,T2,BUTTE  ,SW
CA0409181,BLUE OAK TERRACE MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0409183,SIERRA MOON WATER COMPANY,C,D1,TD,BUTTE  ,GW
CA0410001,CITY OF BIGGS,C,D2,TD,BUTTE  ,GW
CA0410002,CAL-WATER SERVICE CO.-CHICO,C,D5,T2,BUTTE  ,GW
CA0410003,DURHAM IRRIGATION DISTRICT,C,D2,TD,BUTTE  ,GW
CA0410004,CITY OF GRIDLEY,C,D2,T1,BUTTE  ,GW
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,C,D3,T4,BUTTE  ,SW
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,C,D3,T4,BUTTE  ,SW
CA0410007,PARADISE IRRIGATION DISTRICT,C,D3,T5,BUTTE  ,SW
CA0410008,THERMALITO WATER & SEWER DIST,C,D2,T3,BUTTE  ,SW
CA0410009,DEL ORO WATER CO.-MAGALIA,C,D1,T2,BUTTE  ,GW
CA0410011,DEL ORO WATER CO.-PARADISE PINES,C,D3,TD,BUTTE  ,SWP
CA0410012,SOUTH FEATHER W&P - BANGOR,C,D1,T4,BUTTE  ,SW
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,C,D1,T2,BUTTE  ,SW
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,C,D1,There are no treatment plants,CALAVERAS  ,GW
CA0500027,LILI VALLEY WATER CO.,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500068,DUNROVIN MOBILE HOME VILLAGE,C,TD,There are no treatment plants,CALAVERAS  ,GW
CA0500075,LAKESIDE MOBILE ESTATES,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500082,ANGELS CAMP RV/CAMPING RESORT,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,C,TD,T2,CALAVERAS  ,SW
CA0510001,UNION PUBLIC UTILITY DISTRICT,C,D2,T3,CALAVERAS  ,SW
CA0510002,CALAVERAS PUD,C,D3,T3,CALAVERAS  ,SW
CA0510003,"ANGELS, CITY OF",C,D2,T3,CALAVERAS  ,SW
CA0510004,CCWD - SHEEP RANCH,C,D1,T2,CALAVERAS  ,SW
CA0510005,CCWD - WEST POINT,C,D2,T3,CALAVERAS  ,SW
CA0510006,CCWD - JENNY LIND,C,D4,T4,CALAVERAS  ,SW
CA0510009,BLUE LAKE SPRINGS MUT WTR,C,D2,T2,CALAVERAS  ,SWP
CA0510010,VALLEY SPRINGS PUD,C,D1,TD,CALAVERAS  ,GW
CA0510011,SNOWSHOE SPRINGS ASSN.,C,D1,There are no treatment plants,CALAVERAS  ,SWP
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,C,D2,T2,CALAVERAS  ,SW
CA0510016,CCWD - EBBETTS PASS,C,D4,T3,CALAVERAS  ,SW
CA0510017,CCWD - COPPER COVE,C,D3,T3,CALAVERAS  ,SW
CA0510019,CCWD - WALLACE,C,D1,T2,CALAVERAS  ,GW
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,C,D1,T2,COLUSA  ,GW
CA0600008,COLUSA CO. WWD #1 - GRIMES,C,D1,TD,COLUSA  ,GW
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,C,D1,T2,COLUSA  ,SW
CA0600013,COLUSA CO. WWD #2 - PRINCETON,C,D1,TD,COLUSA  ,GW
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,C,D1,There are no treatment plants,COLUSA  ,GW
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,C,D2,TD,COLUSA  ,GW
CA0610002,CITY OF COLUSA,C,D2,TD,COLUSA  ,GW
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,C,D1,TD,COLUSA  ,GW
CA0610004,CITY OF WILLIAMS,C,D2,T1,COLUSA  ,GW
CA0706004,OAKLEY MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA  ,GW
CA0706005,FARRAR PARK PROPERTY OWNERS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707501,ANGLER S RANCH #3,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707507,WILLOW PARK MARINA,C,D1,TD,CONTRA COSTA  ,GW
CA0707517,COLONIA SANTA MARIA,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707519,DUTCH SLOUGH WATER WORKS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707523,BETHEL ISLAND ESTATES,C,D1,TD,CONTRA COSTA  ,GW
CA0707545,ORWOOD RESORT,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,C,D1,TD,CONTRA COSTA  ,GW
CA0707553,RIVERVIEW MOBILE HOMES,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707556,SANDMOUND MUTUAL,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707569,ANGLERS SUBDIVISION 4,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707572,BETHEL ISLAND MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707573,DELTA MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA  ,GW
CA0707575,BETHEL ISLAND MHC,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707576,PLEASANTIMES MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707577,RIVERVIEW WATER ASSOCIATION,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707585,MORAGA HEIGHTS MUTUAL WATER,C,D1,T1,CONTRA COSTA  ,GW
CA0707588,BIG OAK MOBILE HOME PARK WATER,C,D1,TD,CONTRA COSTA  ,GW
CA0707589,BELLA VISTA WATER SYS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707594,CASA MEDANOS WATER SYSTEM,C,D1,TD,CONTRA COSTA  ,GW
CA0707597,SANDY POINT MOBILE HOME PARK,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707598,CAMINO MOBILEHOME,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707601,RUSSOS MOBILE PARK,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707603,CLAYTON PALMS WATER,C,D1,There are no treatment plants,CONTRA COSTA  ,SWP
CA0707608,MARINA MOBILE MANOR,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707613,WILLOW MOBILE HOME PARK,C,D1,TD,CONTRA COSTA  ,GW
CA0707615,DOUBLETREE RANCH WATER SYSTEM,C,D1,T1,CONTRA COSTA  ,GW
CA0707623,WILCOX STATION RANCH,C,D1,TD,CONTRA COSTA  ,GW
CA0710001,CITY OF ANTIOCH,C,D5,T5,CONTRA COSTA  ,SW
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,C,D3,T1,CONTRA COSTA  ,SWP
CA0710003,CONTRA COSTA WATER DISTRICT,C,D5,T5,CONTRA COSTA  ,SW
CA0710004,BRENTWOOD,C,D5,TD,CONTRA COSTA  ,SWP
CA0710006,CITY OF MARTINEZ,C,D3,T5,CONTRA COSTA  ,SWP
CA0710007,DIABLO WATER DISTRICT,C,D3,T2,CONTRA COSTA  ,SWP
CA0710008,CITY OF PITTSBURG,C,D4,T5,CONTRA COSTA  ,SWP
CA0710009,TOWN OF DISCOVERY BAY,C,D3,T2,CONTRA COSTA  ,GW
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,C,NR,T5,CONTRA COSTA  ,SWP
CA0710011,CCWD/BRENTWOOD WTP,C,NR,T5,CONTRA COSTA  ,SWP
CA0800526,REDWOOD PARK C.S.D.,C,D1,TD,DEL NORTE  ,GW
CA0800532,BIG ROCK C.S.D.,C,D1,T1,DEL NORTE  ,GW
CA0800548,KLAMATH C.S.D.,C,D1,There are no treatment plants,DEL NORTE  ,GW
CA0800552,NORTHCREST TRAILER CITY,C,D1,TD,DEL NORTE  ,GW
CA0800555,GASQUET C.S.D.,C,D1,T2,DEL NORTE  ,SW
CA0800556,HRC C.S.D.,C,D1,TD,DEL NORTE  ,GW
CA0800557,HUNTER VALLEY CSD,C,D1,There are no treatment plants,DEL NORTE  ,GW
CA0800603,BUTTE COURT MOBILE HOME PARK,C,D1,TD,DEL NORTE  ,GW
CA0800605,WEST PARK PROPERTIES,C,D1,TD,DEL NORTE  ,GW
CA0800700,LAS PALMAS MOBILE HOME PARK,C,D1,TD,DEL NORTE  ,GW
CA0800800,PINE GROVE TRAILER PARK,C,D1,TD,DEL NORTE  ,GW
CA0800825,JED SMITH HOMEOWNERS ASSN.,C,D1,TD,DEL NORTE  ,GW
CA0810001,CITY OF CRESCENT CITY,C,D3,T1,DEL NORTE  ,GW
CA0810002,SMITH RIVER C.S.D.,C,D2,TD,DEL NORTE  ,GW
CA0810003,BERTSCH OCEAN VIEW CSD,C,D2,There are no treatment plants,DEL NORTE  ,GWP
CA0900102,GOLD BEACH PARK,C,D1,T2,EL DORADO  ,GW
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,C,NR,There are no treatment plants,EL DORADO  ,GW
CA0900300,KYBURZ MUTUAL WATER COMPANY,C,D2,T2,EL DORADO  ,SW
CA0900308,QUINTETTE SERVICE CORP WATER,C,D1,T2,EL DORADO  ,GW
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",C,D2,There are no treatment plants,EL DORADO  ,GW
CA0900422,CRYSTAL CAVES MHP,C,NR,There are no treatment plants,EL DORADO  ,GW
CA0901217,BEAR STATE WATER WORKS,C,D1,T5,EL DORADO  ,GW
CA0910001,EL DORADO ID - MAIN,C,D5,T5,EL DORADO  ,SW
CA0910002,SOUTH TAHOE PUD - MAIN,C,D4,T2,EL DORADO  ,GW
CA0910003,"PLACERVILLE, CITY OF - MAIN",C,D3,There are no treatment plants,EL DORADO  ,SWP
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,C,D2,T2,EL DORADO  ,SW
CA0910007,LUKINS BROTHERS WATER COMPANY,C,D2,T2,EL DORADO  ,GW
CA0910012,TAHOE CITY PUD - RUBICON,C,D1,TD,EL DORADO  ,GW
CA0910013,GEORGETOWN DIVIDE PUD,C,D3,T3,EL DORADO  ,SW
CA0910015,TAHOE KEYS WATER COMPANY,C,D2,T2,EL DORADO  ,GW
CA0910017,EL DORADO ID - STRAWBERRY,C,D1,T2,EL DORADO  ,SW
CA0910018,EL DORADO ID - OUTINGDALE,C,D1,T3,EL DORADO  ,SW
CA0910019,LAKESIDE PARK ASSOCIATION,C,D1,T2,EL DORADO  ,SW
CA1000004,BELMONT WATER CORPORATION,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000005,BIG CREEK COMMUNITY SERV DIST,C,D1,TD,FRESNO  ,SWP
CA1000018,EASTON ESTATES WATER COMPANY,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000019,FCSA #30/EL PORVENIR,C,D1,T2,FRESNO  ,SW
CA1000021,FCSA #05/WILDWOOD ISLAND,C,D1,T1,FRESNO  ,GW
CA1000023,FCSA #14/BELMONT MANOR,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000039,FCSA #10/CUMORAH KNOLLS,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000040,FCWWD #37/MILE HIGH,C,D1,T1,FRESNO  ,GW
CA1000041,FCWWD #38/SKY HARBOUR,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000042,FCWWD #40 / SHAVER SPRINGS,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000053,LANARE COMMUNITY SERVICES DIST,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,FRESNO  ,GWP
CA1000056,MEADOW LAKES CLUB,C,D1,T1,FRESNO  ,GW
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000063,NEW AUBERRY WATER ASSOCIATION,C,D1,TD,FRESNO  ,GW
CA1000069,SHAVER LAKE HEIGHTS WATER ASSN,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000075,TRACT 1199 WATER SYSTEM,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000078,FCWWD #42/ALLUVIAL & FANCHER,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000186,HELM SCHOOL,C,D1,TD,FRESNO  ,GW
CA1000199,FOWLER CARE CENTER,C,D1,T2,FRESNO  ,GW
CA1000200,RUBYS VALLEY CARE HOME,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000213,HARRIS FARMS/HORSE BARN,C,D1,T2,FRESNO  ,SW
CA1000229,GREEN ACRES MOBILE HOME ESTATE,C,D1,TD,FRESNO  ,GW
CA1000238,CAMDEN TRAILER PARK,C,D1,T1,FRESNO  ,GW
CA1000244,SHADY LAKES MOBILE HOME PARK,C,D1,TD,FRESNO  ,GW
CA1000247,SHERWOOD FOREST MHP,C,D1,TD,FRESNO  ,GW
CA1000257,MT ARARAT MOBILE HOME PARK,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000259,NEW HORIZONS MOBILE/RV PARK,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000260,SANDY CREEK VILLAGE MHP,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000265,MARY LOU MOBILE HOME PARK,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000267,KINGS CANYON MOBILE HOME PARK,C,D1,TD,FRESNO  ,GW
CA1000277,ELM COURT,C,D1,TD,FRESNO  ,GW
CA1000295,KINGS PARK APARTMENTS,C,D1,TD,FRESNO  ,GW
CA1000298,WOODWARD BLUFFS MHP,C,D1,TD,FRESNO  ,GW
CA1000299,THREE PALMS MOBILEHOME PARK,C,D1,TD,FRESNO  ,GW
CA1000324,MANNING GARDENS CARE CENTER INC,C,D1,TD,FRESNO  ,GW
CA1000345,PANOCHE WATER DISTRICT,C,D1,T2,FRESNO  ,SW
CA1000359,FCSA #32/CANTUA CREEK,C,D1,T2,FRESNO  ,SW
CA1000366,SUNNYSIDE CONVALESCENT HOSP,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000369,ZONNEVELD DAIRY - CEDAR,C,D1,T1,FRESNO  ,GW
CA1000377,ST NICHOLAS RANCH & RETREAT,C,D1,TD,FRESNO  ,GW
CA1000378,SUNSET WEST COMMUNITY LLC,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000405,KINGS RIVER POINT,C,D1,T1,FRESNO  ,GW
CA1000426,RIVERBEND MOBILE HOME & RV PARK,C,D1,TD,FRESNO  ,GW
CA1000430,COUNTRYSIDE CARE CENTER,C,D1,TD,FRESNO  ,GW
CA1000471,FCSA #39 A&B,C,D1,There are no treatment plants,FRESNO  ,GWP
CA1000472,PG&E HELMS SUPPORT FACILITY,C,D1,T2,FRESNO  ,GW
CA1000484,FCSA #34/ MILLERTON NEW TOWN,C,D1,T2,FRESNO  ,SW
CA1000546,FCSA #49/ FIVE POINTS,C,D1,T2,FRESNO  ,SW
CA1000550,FCSA #44D/MONTE VERDI,C,D1,TD,FRESNO  ,GW
CA1000551,FCSA #43/RAISIN CITY,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000554,FCSA #10A/MANSIONETTE ESTATES,C,D1,TD,FRESNO  ,GW
CA1000555,FCSA #44C/RIVERVIEW ESTATES,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000570,JUVENILE JUSTICE CAMPUS,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000585,MURRIETA/HERNANDEZ FARMS,C,D1,There are no treatment plants,FRESNO  ,GW
CA1000627,ZONNEVELD DAIRY - CERINI,C,D1,T1,FRESNO  ,GW
CA1009020,FIVE POINTS RANCH,C,D1,TD,FRESNO  ,GW
CA1009023,BRITZ/COLUSA,C,D1,T2,FRESNO  ,SW
CA1009027,HARRIS FARMS HEADQUARTERS,C,D1,T2,FRESNO  ,SW
CA1009028,HARRIS FARMS SOUTH #101-144,C,D1,T2,FRESNO  ,SW
CA1009039,PAPPAS & CO (MENDOTA),C,D1,T2,FRESNO  ,SW
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",C,D1,There are no treatment plants,FRESNO  ,GW
CA1009078,HARRIS FEEDING COMPANY,C,D1,T2,FRESNO  ,SW
CA1009111,SCE/BIG CREEK POWERHOUSE #1,C,D1,T2,FRESNO  ,SW
CA1009120,RAU DAIRY,C,D1,There are no treatment plants,FRESNO  ,GW
CA1009179,BRITZ/FIVE POINT SYSTEM,C,D1,T2,FRESNO  ,SW
CA1009214,WESTSIDE HARVESTING,C,D1,T2,FRESNO  ,SW
CA1009222,TERRA LINDA FARMS,C,D1,T3,FRESNO  ,SW
CA1009232,"CC FARMS, LLC.",C,D1,T2,FRESNO  ,SW
CA1010001,BAKMAN WATER COMPANY,C,D2,T3,FRESNO  ,GW
CA1010003,CITY OF CLOVIS,C,D4,T5,FRESNO  ,SW
CA1010004,COALINGA-CITY,C,D3,T4,FRESNO  ,SW
CA1010005,FIREBAUGH CITY,C,D2,T2,FRESNO  ,GW
CA1010006,CITY OF FOWLER,C,D2,There are no treatment plants,FRESNO  ,GW
CA1010007,CITY OF FRESNO,C,D4,T5,FRESNO  ,SW
CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",C,D2,T2,FRESNO  ,SW
CA1010017,FCWWD #41/SHAVER LAKE,C,D2,T1,FRESNO  ,GW
CA1010018,"KERMAN, CITY OF",C,D3,TD,FRESNO  ,GW
CA1010019,"KINGSBURG, CITY OF",C,D3,T2,FRESNO  ,GW
CA1010020,LATON COMMUNITY SERVICES DISTRICT,C,D2,There are no treatment plants,FRESNO  ,GW
CA1010021,"MENDOTA, CITY OF",C,D3,T2,FRESNO  ,GW
CA1010023,CITY OF ORANGE COVE,C,D2,T3,FRESNO  ,SW
CA1010024,CWS - SELMA,C,D3,T2,FRESNO  ,GW
CA1010025,CITY OF PARLIER,C,D3,TD,FRESNO  ,GW
CA1010026,PINEDALE COUNTY WATER DISTRICT,C,D3,TD,FRESNO  ,GW
CA1010027,"REEDLEY, CITY OF",C,D3,T2,FRESNO  ,GW
CA1010028,RIVERDALE PUBLIC UTILITY DISTRICT,C,D2,TD,FRESNO  ,GW
CA1010029,CITY OF SANGER,C,D3,T3,FRESNO  ,GW
CA1010030,TRANQUILLITY IRRIGATION DISTRICT,C,D2,T1,FRESNO  ,GW
CA1010034,"SAN JOAQUIN, CITY OF",C,D2,TD,FRESNO  ,GW
CA1010035,DEL REY COMMUNITY SERV DIST,C,D2,There are no treatment plants,FRESNO  ,GW
CA1010039,CARUTHERS COMM SERV DIST,C,D2,Missing treatment classification in SDWIS,FRESNO  ,GW
CA1010042,MALAGA COUNTY WATER DISTRICT,C,D2,There are no treatment plants,FRESNO  ,GW
CA1010044,"HURON, CITY OF",C,D2,T3,FRESNO  ,SW
CA1010049,BIOLA COMMUNITY SERVICES DIST,C,D2,TD,FRESNO  ,GW
CA1010051,FCWWD #18/FRIANT,C,D1,T2,FRESNO  ,SW
CA1010052,SIERRA CEDARS CSD,C,D1,T1,FRESNO  ,GW
CA1010053,SHAVER LAKE HEIGHTS MWC,C,D1,There are no treatment plants,FRESNO  ,GW
CA1010055,FCSA #47/QUAIL LAKE ESTATES,C,D2,TD,FRESNO  ,GW
CA1010062,FCWWD #18/MIRA BELLA,C,D1,T1,FRESNO  ,GW
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,C,D3,Operator is not required,FRESNO  ,GW
CA1010501,NPS-GRANT GROVE,C,D1,T1,FRESNO  ,GW
CA1010800,CAL FIRE - MIRAMONTE CONSERVATION CAMP,C,D1,TD,FRESNO  ,GW
CA1100203,ARTOIS COMMUNITY S.D.,C,D1,There are no treatment plants,GLENN  ,GW
CA1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,C,D1,There are no treatment plants,GLENN  ,GW
CA1100254,VOYLES TRAILER PARK,C,D1,TD,GLENN  ,GW
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,C,D1,There are no treatment plants,GLENN  ,GW
CA1100413,COUNTRY LEISURE MOBILE ESTATES,C,D1,There are no treatment plants,GLENN  ,GW
CA1100436,ORLAND OAKS MHP,C,D1,There are no treatment plants,GLENN  ,GW
CA1100444,ORLAND ESTATES MOBILE H.P.,C,D1,There are no treatment plants,GLENN  ,GW
CA1100445,ORLAND MOBILE H.P.,C,D1,There are no treatment plants,GLENN  ,GW
CA1100452,SHADY OAKS TRAILER PARK,C,D1,There are no treatment plants,GLENN  ,GW
CA1100616,ELK CREEK COMMUNITY S.D.,C,D1,T3,GLENN  ,SW
CA1100711,BUTTE CITY COMMUNITY S.D.,C,D1,TD,GLENN  ,GW
CA1110001,CITY OF ORLAND,C,D2,TD,GLENN  ,GW
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,C,D2,TD,GLENN  ,GW
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,C,D2,T2,GLENN  ,GW
CA1200501,ALDERPOINT COUNTY WATER,C,D1,T2,HUMBOLDT  ,SW
CA1200518,RIVERSIDE CSD,C,D1,TD,HUMBOLDT  ,GW
CA1200538,MYERS FLAT M.W.S. INC.,C,D1,TD,HUMBOLDT  ,GW
