PWSID,PWS_Name,Primacy_FINAL,Final_inst_update,Inst_Subtype,SWRCB_LPA,CPUC
CA5610021,CAL AMERICAN WATER COMPANY - PIRU,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA5610010,CAL AMERICAN WC - RIO PLAZA,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA5610081,CAL AMERICAN WC - LAS POSAS ESTATES,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA5700712,CAL AM - DUNNIGAN,LPA87 - YOLO COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A,SWRCB,Yes
CA0410002,CAL-WATER SERVICE CO.-CHICO,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A,SWRCB,Yes
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A,SWRCB,Yes
CA1010024,CWS - SELMA,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A,SWRCB,Yes
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A,SWRCB,Yes
CA1510003,CWS - BAKERSFIELD,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA1510055,CWS - NORTH GARDEN,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA1500333,CWS - FREMONT VALLEY,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510033,CWS - KERNVILLE,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510049,CWS - LAKELAND,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510039,CWS SOUTHLAKE SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1500374,CWS-GRAND OAKS WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1510043,CWS-ONYX WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class A,SWRCB,Yes
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class A,SWRCB,Yes
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA2110007,COAST SPRINGS - CAL. WATER SERVICE (PUC),DISTRICT 25 - MARIN,Investor Owned Utility,Class A,SWRCB,Yes
CA2710009,CWSC KING CITY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710013,CWSC LAS LOMAS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710019,CWSC OAK HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710010,CWSC SALINAS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2710012,CWSC SALINAS HILLS,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class A,SWRCB,Yes
CA2702198,FOOTHILL ESTATES WS,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA3910001,CALIFORNIA WATER SERVICE - STOCKTON,DISTRICT 10 - STOCKTON,Investor Owned Utility,Class A,SWRCB,Yes
CA4110006,CALIFORNIA WATER SERVICE - BEAR GULCH,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4110008,CALIFORNIA WATER SERVICE - SAN MATEO,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4310001,CWSC LOS ALTOS SUBURBAN,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A,SWRCB,Yes
CA4910018,ARMSTRONG VALLEY-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA4900546,HAWKINS WATER CO-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA4900785,NOEL HEIGHTS-CAL WATER SERVICE (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA4900514,RANCHO DEL PARADISO-CAL WATER SVC (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class A,SWRCB,Yes
CA5400935,CWS - MULLEN WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA5410041,CWS - TULCO WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA5410016,CWS - VISALIA,DISTRICT 12 - VISALIA,Investor Owned Utility,Class A,SWRCB,Yes
CA5610016,CALIFORNIA WATER SERVICE CO - WESTLAKE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA5810001,CAL-WATER SERVICE CO.-MARYSVILLE,DISTRICT 21 - VALLEY,Investor Owned Utility,Class A,SWRCB,Yes
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,DISTRICT 04 - SAN FRANCISCO,Investor Owned Utility,Class A,SWRCB,Yes
CA1310003,GSWC - CALIPATRIA,DISTRICT 26 - IMPERIAL,Investor Owned Utility,Class A,SWRCB,Yes
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class A,SWRCB,Yes
CA1910024,GSWC - CLAREMONT,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910142,GSWC-SAN DIMAS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910212,GSWC-SOUTH ARCADIA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910223,GSWC-SOUTH SAN GABRIEL,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910004,GSWC - ARTESIA,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910011,"GSWC - BELL, BELL GARDENS",DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910030,GSWC - CULVER CITY,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910155,GSWC - SOUTHWEST,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910077,GSWC - FLORENCE/GRAHAM,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910195,GSWC - HOLLYDALE,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910098,GSWC - NORWALK,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA1910072,GSWC - WILLOWBROOK,DISTRICT 15 - METROPOLITAN,Investor Owned Utility,Class A,SWRCB,Yes
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A,SWRCB,Yes
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A,SWRCB,Yes
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,DISTRICT 08 - SANTA ANA,Investor Owned Utility,Class A,SWRCB,Yes
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class A,SWRCB,Yes
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A,SWRCB,Yes
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A,SWRCB,Yes
CA3610043,GOLDEN STATE WATER CO - BARSTOW,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A,SWRCB,Yes
CA3610108,GOLDEN STATE WATER CO - LUCERNE,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A,SWRCB,Yes
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A,SWRCB,Yes
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class A,SWRCB,Yes
CA3600279,GOLDEN STATE WATER DESERT VIEW,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA4010023,GOLDEN STATE WATER COMPANY - EDNA,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4010040,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4010017,GOLDEN STATE WATER COMPANY - LOS OSOS,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4010018,GOLDEN STATE WATER COMPANY - NIPOMO,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA4200560,SISQUOC,LPA72 - SANTA BARBARA COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA5610059,GOLDEN STATE WATER COMPANY - SIMI VALLEY,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class A,SWRCB,Yes
CA3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A,SWRCB,Yes
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class A,SWRCB,Yes
CA3600010,LIBERTY UTILITIES APPLE VALLEY,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class A,LPA,Yes
CA1910241,LIBERTY UTILITIES - MESA CREST,DISTRICT 16 - CENTRAL,Investor Owned Utility,Class A,SWRCB,Yes
CA1910021,LIBERTY UTILITIES - COMPTON,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910161,LIBERTY UTILITIES - LYNWOOD,DISTRICT 22 - ANGELES,Investor Owned Utility,Class A,SWRCB,Yes
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,DISTRICT 07 - HOLLYWOOD,Investor Owned Utility,Class A,SWRCB,Yes
CA2710001,ALCO WATER SERVICE,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class B,SWRCB,Yes
CA1010001,BAKMAN WATER COMPANY,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA2010009,BAKMAN WATER-ROLLING HILLS,DISTRICT 11 - MERCED,Investor Owned Utility,Class B,SWRCB,Yes
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA0410009,DEL ORO WATER CO.-MAGALIA,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA0410011,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,DISTRICT 23 - FRESNO,Investor Owned Utility,Class B,SWRCB,Yes
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA1200671,BENBOW-DEL ORO W.C.,DISTRICT 01 - KLAMATH,Investor Owned Utility,Class B,SWRCB,Yes
CA1210007,DEL ORO WATER CO-FERNDALE,DISTRICT 01 - KLAMATH,Investor Owned Utility,Class B,SWRCB,Yes
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA4500022,DEL ORO WATER CO. - HAT CREEK DISTRICT,DISTRICT 02 - LASSEN,Investor Owned Utility,Class B,SWRCB,Yes
CA4510015,DEL ORO WATER CO.-JOHNSON PARK,DISTRICT 02 - LASSEN,Investor Owned Utility,Class B,SWRCB,Yes
CA5200574,DEL ORO WC - LARKSPUR MEADOWS,DISTRICT 21 - VALLEY,Investor Owned Utility,Class B,SWRCB,Yes
CA5410034,DEL ORO CALIFORNIA PINES DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5400767,DEL ORO EAST PLANO DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5400553,DEL ORO TRAVER DISTRICT,DISTRICT 12 - VISALIA,Investor Owned Utility,Class B,SWRCB,Yes
CA5510007,DEL ORO WATER COMPANY - STRAWBERRY DIV.,DISTRICT 11 - MERCED,Investor Owned Utility,Class B,SWRCB,Yes
CA0910007,LUKINS BROTHERS WATER COMPANY,DISTRICT 09 - SACRAMENTO,Investor Owned Utility,Class C,SWRCB,Yes
CA1510009,ERSKINE CREEK WC,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class C,SWRCB,Yes
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,DISTRICT 16 - CENTRAL,Investor Owned Utility,Class C,SWRCB,Yes
CA2010003,BASS LAKE WATER COMPANY,DISTRICT 11 - MERCED,Investor Owned Utility,Class C,SWRCB,Yes
CA2010005,YOSEMITE SPRING PARK UTIL CO,DISTRICT 11 - MERCED,Investor Owned Utility,Class C,SWRCB,Yes
CA2310007,NORTH GUALALA WATER COMPANY,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class C,SWRCB,Yes
CA2310002,ROGINA WATER COMPANY INC.,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class C,SWRCB,Yes
CA2710016,LITTLE BEAR WATER COMPANY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class C,SWRCB,Yes
CA3110012,AGATE BAY WATER COMPANY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3110015,FULTON WATER COMPANY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3110049,TAHOE PARK WATER CO - SKYLAND/NIELSEN,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3110018,TAHOE PARK WATER COMPANY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3110035,WEIMAR WATER COMPANY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3210005,GRAEAGLE WATER COMPANY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class C,SWRCB,Yes
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,DISTRICT 27 - MOJAVE,Investor Owned Utility,Class C,SWRCB,Yes
CA4010027,NACIMIENTO WATER COMPANY,DISTRICT 06 - SANTA BARBARA,Investor Owned Utility,Class C,SWRCB,Yes
CA4910003,PENNGROVE WATER COMPANY (PUC),DISTRICT 18 - SONOMA,Investor Owned Utility,Class C,SWRCB,Yes
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",DISTRICT 18 - SONOMA,Investor Owned Utility,Class C,SWRCB,Yes
CA5510011,COLD SPRINGS WATER CO,DISTRICT 11 - MERCED,Investor Owned Utility,Class C,SWRCB,Yes
CA0210001,LAKE ALPINE WATER COMPANY,DISTRICT 10 - STOCKTON,Investor Owned Utility,Class D,SWRCB,Yes
CA1000018,EASTON ESTATES WATER COMPANY,DISTRICT 23 - FRESNO,Investor Owned Utility,Class D,SWRCB,Yes
CA1400010,"ROLLING GREEN UTILITIES, INC.",DISTRICT 27 - MOJAVE,Investor Owned Utility,Class D,SWRCB,Yes
CA1500578,LONG CANYON WATER COMPANY CORP.,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class D,SWRCB,Yes
CA1510042,MOUNTAIN MESA WC,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class D,SWRCB,Yes
CA1500540,PINON VALLEY WATER COMPANY,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class D,SWRCB,Yes
CA1500371,UNION PACIFIC RAILROAD CO.-KEENE WATER,DISTRICT 19 - TEHACHAPI,Investor Owned Utility,Class D,SWRCB,Yes
CA1700606,BAYCLIFF WATER,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class D,SWRCB,Yes
CA1800503,SUSAN RIVER PARK WATER CO.,DISTRICT 02 - LASSEN,Investor Owned Utility,Class D,SWRCB,Yes
CA1900849,LLANO DEL RIO WATER COMPANY,LPA49 - LA COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA2310013,POINT ARENA WATER WORKS,DISTRICT 03 - MENDOCINO,Investor Owned Utility,Class D,SWRCB,Yes
CA2702588,CANADA WOODS WC,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class D,SWRCB,Yes
CA2710023,TASCO SPRECKELS WATER COMPANY,DISTRICT 05 - MONTEREY,Investor Owned Utility,Class D,SWRCB,Yes
CA2701658,ARROYO CENTER WC,LPA57 - MONTEREY COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA2800530,MEYERS WATER CO.,LPA58 - NAPA COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA3110042,TAHOE SWISS VILLAGE UTILITY,DISTRICT 02 - LASSEN,Investor Owned Utility,Class D,SWRCB,Yes
CA3301529,RAMONA WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA3301011,STONE CREEK WATER CO.,LPA63 - RIVERSIDE COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA3610017,HAVASU WC,DISTRICT 13 - SAN BERNARDINO,Investor Owned Utility,Class D,SWRCB,Yes
CA3600158,LYTLE SPRINGS WC,LPA66 - SAN BERNARDINO COUNTY,Investor Owned Utility,Class D,LPA,Yes
CA4300912,MECCHI WATER COMPANY,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class D,SWRCB,Yes
CA4300575,TWIN VALLEY INC,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class D,SWRCB,Yes
CA4300543,WEST SAN MARTIN WATER WORKS INC,DISTRICT 17 - SANTA CLARA,Investor Owned Utility,Class D,SWRCB,Yes
CA4400598,"PURESOURCE WATER, INC",LPA74 - SANTA CRUZ COUNTY,Investor Owned Utility,Class D,LPA,Yes
