"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","hasnotreceivedfunding","didnotapplycovid","SC3i_Count_Distribution","Service_disruptions","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any","FAILING","MHI_KD","Percent.hispanicorlatino","Percent.white","Percent.black","Percent.asian","Percent.renter"
"11","CA2010013","CAL AM - COARSEGOLD","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,25,83,88880,9.964857105,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",4.43081679884331,"2","2","No",NA,"NONE",NA,"1","0","No","0","0","0","0","0","0","Not failing",95798,5.94916170903191,82.314764737696,0,1.35208220659816,6.97050938337802
"12","CA2010014","CAL AM - GOLDSIDE","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,311,1026,62051.46401,14.78845533,"Failing",0,0,"NO","YES","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",6.93439720992856,NA,NA,"No","No","NONE","Yes","1","0","No",NA,NA,"0","0","0","0","Failing",71632.7691282329,14.6847711101942,79.4995088139061,0,0.698412102461143,30.3343018207739
"13","CA2010007","CAL AM - OAKHURST","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1034,3412,72946.68356,12.63765143,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",8.13534694890671,NA,NA,"No",NA,"NONE",NA,"1","2","Yes",NA,NA,"1","1","0","0","Not failing",81825.7595452878,11.6101816713533,82.9161937707111,0,2.48614066457257,15.6303415615249
"14","CA2010012","CAL AM - RAYMOND","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,97,320,44219,14.76946449,"At-Risk",0.5,4431294.49,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",5.77144112313002,NA,NA,"Yes","Yes","NONE","No","1","1","Yes",NA,NA,"1","1","1","1","Not failing",59219,15.1286880100439,73.8229755178908,0,2.13433772755807,14.6818923327896
"15","CA2410008","CAL AM - MEADOWBROOK","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None","No",1714,5656,68974.42599,47.15920992,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MERCED  ","GW","GW","Self-produced",8.64064899534316,NA,NA,"No","No","NONE","Yes","1","0","No",NA,NA,"0","0","0","0","Not failing",75254.9998582996,42.623579734821,28.6581621786204,2.71091845142301,22.168687702454,30.9053339430304
"16","CA2710006","CAL AM WATER COMPANY - AMBLER PARK","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,410,980,144060.6603,4.891350502,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",6.88857245956536,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","1","1","Not failing",227907.456889515,10.450716111045,74.2843590118988,0,6.31166517456133,9.68989424633926
"17","CA2701202","CAL AM WATER COMPANY - CHUALAR","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,192,1139,NA,32.8608201,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",7.03878354138854,NA,"2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",NA,98.2273201251303,0,0,0,47.3429951690821
"18","CA2710004","CAL AM WATER COMPANY - MONTEREY","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,38257,92450,130941.7544,7.611016021,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","MONTEREY  ","GU","GW","Self-produced",11.4344340534144,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.365241299839,60.3678209864884,2.57261312746406,7.80155089452523,49.7970067983171
"19","CA2710021","CAL AM WATER COMPANY - TORO","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,419,1065,132615.6962,5.416003577,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",6.97166860472579,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","1","1","Not failing",238601.680578314,9.69668566545277,75.6272262859119,0.00647390525452004,5.23005593385844,12.5624197616699
"20","CA2710022","CAL AM WATER COMPANY - HIDDEN HILLS","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,453,1106,182210.4355,6.759726138,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",7.00940893270864,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",188743.300575085,9.66239659314489,72.1324482394111,2.52136191147408,3.81444475930272,7.53307231668168
"21","CA2702004","CAL AM WATER COMPANY - RALPH LANE","LPA57 - MONTEREY COUNTY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,27,96,NA,23.43828651,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",4.57471097850338,NA,"2","No",NA,"High",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",NA,13.540197461213,71.509167842031,0,9.30888575458392,0
"22","CA2701257","CAL AM WATER COMPANY - GARRAPATA","LPA57 - MONTEREY COUNTY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,43,30,80477,4.035260329,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","MONTEREY  ","GU","GW","Self-produced",3.43398720448515,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",95477,36.5913555992141,52.6522593320236,2.65225933202358,0,55.7510148849797
"23","CA3110150","CAL AM - WEST PLACER","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,2246,7412,113376.0158,15.79973884,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","PLACER  ","SWP","SW","Purchased",8.91099049465672,NA,NA,"No",NA,"NONE",NA,"1",NA,NA,NA,NA,"0","0","0","0","Not failing",152170.195512297,16.6724888860695,51.5173456730567,6.01107150768977,19.1561232967262,20.5655974644088
"24","CA3410023","CAL AM - FRUITRIDGE VISTA","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,4612,15220,46618.32044,48.84304461,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",9.63043133227967,NA,NA,"No","No","NONE","Yes","1",NA,NA,NA,NA,"0","0","0","0","Not failing",52844.117090988,48.265119471409,15.6325898060218,11.7670231800142,18.3634779445737,59.1800903876734
"25","CA3410047","CAL AM - WALNUT GROVE","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,197,650,51875,32.79356937,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","MEDIUM","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","GW","GW","Self-produced",6.47850964220857,NA,NA,"No","No","NONE","Yes","1",NA,NA,NA,NA,"0","0","1","1","Not failing",59375,42.1861656703672,49.7011101622545,1.53714773697694,3.5866780529462,43.75
"26","CA3410031","CAL AM - ANTELOPE","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,10679,35241,91303.2557,15.61207637,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.4699938321287,NA,NA,"No",NA,"NONE",NA,"1",NA,NA,NA,NA,"0","0","0","0","Not failing",93084.5280670432,15.7097211054336,58.4942624785042,9.90443134210013,8.9426198351788,31.155325440915
"27","CA3410045","CAL AM - ARDEN","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1203,3970,44827.76183,36.59621766,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",8.28677323113125,NA,NA,"No","No","NONE","Yes","1",NA,NA,NA,NA,"0","0","0","0","Not failing",49112.7661816952,35.8512979955197,22.9270861844398,19.0360805645045,10.4136616293233,89.3534981144866
"28","CA3410012","CAL AM - ISLETON","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,482,1591,74968.73645,30.20759401,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","MEDIUM","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","GW","GW","Self-produced",7.37274636640433,NA,NA,"No","No","NONE","Yes","1",NA,NA,NA,NA,"0","0","1","1","Not failing",55926.7079261321,41.8929417311256,51.4884479335194,0,4.5511357179872,21.762218511329
"29","CA3410013","CAL AM - LINCOLN OAKS","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14444,47665,76265.40306,23.19694672,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.7719736344621,NA,NA,"No",NA,"NONE",NA,"1",NA,NA,NA,NA,"0","0","0","0","Not failing",NA,21.1710491598564,61.7259727449188,3.53232542465478,6.25996746499887,31.0953124505078
"30","CA3410017","CAL AM - PARKWAY","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14989,49464,66866.28234,39.85570521,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.8090206277573,NA,NA,"No","No","NONE","Yes","1",NA,NA,NA,NA,"0","0","0","0","Not failing",NA,31.8827682977951,15.1721319610406,11.5838367833013,33.0356445138614,39.4901066760413
"31","CA3410010","CAL AM - SUBURBAN ROSEMONT","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,16328,53882,77923.03222,30.31718187,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.8945703082616,NA,NA,"No",NA,"NONE",NA,"1",NA,NA,NA,NA,"0","0","0","0","Not failing",NA,23.8207008291196,43.2869768906611,13.3423606254501,11.9269024475256,44.4661472348371
"32","CA3710001","CAL-AM WATER CORONADO","DISTRICT 14 - SAN DIEGO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,21412,106000,92425.46864,23.60246746,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SAN DIEGO  ","SWP","SW","Purchased",11.571203807012,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7092451129586,27.831429644464,3.08235463703727,6.8910833847756,52.0497184474241
"33","CA4210700","AMERICAN WATER O&M, LLC - VSFB","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1161,14971,61870.05288,18.87058941,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"Did not complete survey","No","C","SANTA BARBARA  ","SWP","SW","Purchased",9.61393706902432,NA,NA,"No",NA,"NONE",NA,NA,NA,NA,NA,NA,"0","0","0","0","Not failing",NA,15.4868625695061,55.2963943647731,14.8569386930118,3.47490122164079,98.6983601302248
"34","CA4910023","CALIFORNIA-AMERICAN LARKFIELD (PUC)","DISTRICT 18 - SONOMA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,2334,7702,113049.5551,17.45908771,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SONOMA  ","GW","GW","Self-produced",8.94936514235297,NA,NA,"No",NA,"NONE",NA,"1","0","No",NA,NA,"0","0","0","0","Not failing",NA,27.25793110253,65.3881641440578,0.527081140212547,1.41008190082973,28.452940624788
"35","CA4910024","CALIFORNIA-AMERICAN GEYSERVILLE (PUC)","DISTRICT 18 - SONOMA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,307,1013,120709.7122,16.82417955,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","UNKNOWN","Yes","Yes","C","SONOMA  ","GW","GW","Self-produced",6.92165818415113,NA,NA,"No",NA,"NONE",NA,"1","0","No",NA,NA,"0","0","1","1","Not failing",126486.181089624,24.7078865775025,67.2995729852896,0.986399610317776,1.65573538971809,37.0276656359717
"36","CA5610040","CAL AMERICAN WATER CO","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,20251,66809,131122.0331,13.53149794,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Yes","Yes","C","VENTURA  ","SWP","SW","Purchased",11.1096080489195,"2","2","No",NA,"High",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",134400.358932038,19.3238730249407,64.2187837146299,1.69856906878588,9.98948877880772,27.3838410766209
"37","CA5610021","CAL AMERICAN WATER COMPANY - PIRU","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,613,2003,71628.15725,30.59943455,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE",NA,"NONE","1.5% or greater AND less than 2.5%","No","No","C","VENTURA  ","GW","GW","Self-produced",7.60290046220476,"1","2","No",NA,"NONE",NA,"2","5","Yes","2","1","1","1","0","0","Not failing",81259.7977044345,91.09133486887,8.40277118170214,0.0303576788162754,0,36.6423262008896
