"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"11","CA2010013","CAL AM - COARSEGOLD","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,25,83,88880,9.964857105,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",4.43081679884331,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"12","CA2010014","CAL AM - GOLDSIDE","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,311,1026,62051.46401,14.78845533,"Failing",0,0,"NO","YES","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",6.93439720992856,"NONE","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","1","1","0","0"
"13","CA2010007","CAL AM - OAKHURST","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1034,3412,72946.68356,12.63765143,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",8.13534694890671,"NONE","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"14","CA2010012","CAL AM - RAYMOND","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,97,320,44219,14.76946449,"At-Risk",0.5,4431294.49,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","MADERA  ","GW","GW","Self-produced",5.77144112313002,"NONE","NONE","HIGH","HIGH","Yes","Yes","No","No","0","0","2","1","1","1","1","1"
"15","CA2410008","CAL AM - MEADOWBROOK","DISTRICT 11 - MERCED","Investor Owned Utility","Class A","Yes","No","None",NA,"None","No",1714,5656,68974.42599,47.15920992,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","MERCED  ","GW","GW","Self-produced",8.64064899534316,"HIGH","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","1","1","0","0"
"16","CA2710006","CAL AM WATER COMPANY - AMBLER PARK","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,410,980,144060.6603,4.891350502,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",6.88857245956536,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","1","1"
"17","CA2701202","CAL AM WATER COMPANY - CHUALAR","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,192,1139,NA,32.8608201,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",7.03878354138854,"NONE","NONE","HIGH","NONE","No",NA,NA,"No","0","0","1","1","1","1","0","0"
"18","CA2710004","CAL AM WATER COMPANY - MONTEREY","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,38257,92450,130941.7544,7.611016021,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","MONTEREY  ","GU","GW","Self-produced",11.4344340534144,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"19","CA2710021","CAL AM WATER COMPANY - TORO","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,419,1065,132615.6962,5.416003577,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",6.97166860472579,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","1","1"
"20","CA2710022","CAL AM WATER COMPANY - HIDDEN HILLS","DISTRICT 05 - MONTEREY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,453,1106,182210.4355,6.759726138,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",7.00940893270864,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"21","CA2702004","CAL AM WATER COMPANY - RALPH LANE","LPA57 - MONTEREY COUNTY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,27,96,NA,23.43828651,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GW","GW","Self-produced",4.57471097850338,"NONE","HIGH","HIGH","NONE","No",NA,NA,"No","0","0","1","1","2","1","0","0"
"22","CA2701257","CAL AM WATER COMPANY - GARRAPATA","LPA57 - MONTEREY COUNTY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,43,30,80477,4.035260329,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","MONTEREY  ","GU","GW","Self-produced",3.43398720448515,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"23","CA3110150","CAL AM - WEST PLACER","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,2246,7412,113376.0158,15.79973884,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","PLACER  ","SWP","SW","Purchased",8.91099049465672,"NONE","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"24","CA3410023","CAL AM - FRUITRIDGE VISTA","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,4612,15220,46618.32044,48.84304461,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",9.63043133227967,"HIGH","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","0","0","0","0"
"25","CA3410047","CAL AM - WALNUT GROVE","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,197,650,51875,32.79356937,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","MEDIUM","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","GW","GW","Self-produced",6.47850964220857,"NONE","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","1","1","1","1"
"26","CA3410031","CAL AM - ANTELOPE","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,10679,35241,91303.2557,15.61207637,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.4699938321287,"HIGH","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"27","CA3410045","CAL AM - ARDEN","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1203,3970,44827.76183,36.59621766,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",8.28677323113125,"HIGH","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","0","0","0","0"
"28","CA3410012","CAL AM - ISLETON","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,482,1591,74968.73645,30.20759401,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","MEDIUM","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","GW","GW","Self-produced",7.37274636640433,"NONE","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","1","1","1","1"
"29","CA3410013","CAL AM - LINCOLN OAKS","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14444,47665,76265.40306,23.19694672,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.7719736344621,"NONE","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"30","CA3410017","CAL AM - PARKWAY","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,14989,49464,66866.28234,39.85570521,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.8090206277573,"HIGH","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","0","0","0","0"
"31","CA3410010","CAL AM - SUBURBAN ROSEMONT","DISTRICT 09 - SACRAMENTO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,16328,53882,77923.03222,30.31718187,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SACRAMENTO  ","SWP","SW","Purchased",10.8945703082616,"HIGH","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"32","CA3710001","CAL-AM WATER CORONADO","DISTRICT 14 - SAN DIEGO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,21412,106000,92425.46864,23.60246746,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SAN DIEGO  ","SWP","SW","Purchased",11.571203807012,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"33","CA4210700","AMERICAN WATER O&M, LLC - VSFB","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,1161,14971,61870.05288,18.87058941,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","SANTA BARBARA  ","SWP","SW","Purchased",9.61393706902432,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"34","CA4910023","CALIFORNIA-AMERICAN LARKFIELD (PUC)","DISTRICT 18 - SONOMA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,2334,7702,113049.5551,17.45908771,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SONOMA  ","GW","GW","Self-produced",8.94936514235297,"NONE","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","0","0","0","0"
"35","CA4910024","CALIFORNIA-AMERICAN GEYSERVILLE (PUC)","DISTRICT 18 - SONOMA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,307,1013,120709.7122,16.82417955,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","SONOMA  ","GW","GW","Self-produced",6.92165818415113,"NONE","NONE","HIGH","HIGH","No",NA,NA,"No","0","0","2","1","1","1","1","1"
"36","CA5610040","CAL AMERICAN WATER CO","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,20251,66809,131122.0331,13.53149794,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","VENTURA  ","SWP","SW","Purchased",11.1096080489195,"NONE","HIGH","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"37","CA5610021","CAL AMERICAN WATER COMPANY - PIRU","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,613,2003,71628.15725,30.59943455,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE",NA,"NONE","No","No","C","VENTURA  ","GW","GW","Self-produced",7.60290046220476,"NONE","NONE","HIGH","NONE","No",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"38","CA5610010","CAL AMERICAN WC - RIO PLAZA","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,518,1709,77440.91719,42.42119093,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","VENTURA  ","GW","GW","Self-produced",7.4442486494967,"HIGH","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"39","CA5610081","CAL AMERICAN WC - LAS POSAS ESTATES","DISTRICT 06 - SANTA BARBARA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,619,2039,133540.8595,15.16116373,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","VENTURA  ","SWP","SW","Purchased",7.62070508683826,"NONE","HIGH","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"40","CA5700712","CAL AM - DUNNIGAN","LPA87 - YOLO COUNTY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,166,602,57982.84216,29.94855991,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","HIGH","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE",NA,"NONE","Yes","Yes","C","YOLO  ","GW","GW","Self-produced",6.40191719672719,"HIGH","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","1","1","1","1"
"41","CA0110003","CALIFORNIA WATER SERVICE - LIVERMORE","DISTRICT 04 - SAN FRANCISCO","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,18566,60215,146540.9569,12.67903723,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","ALAMEDA  ","SWP","SW","Purchased",11.0056933767144,"HIGH","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"42","CA0410002","CAL-WATER SERVICE CO.-CHICO","DISTRICT 21 - VALLEY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,30239,111831,75157.14094,19.59185659,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","BUTTE  ","GW","GW","Self-produced",11.624753024151,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"43","CA0410005","CAL-WATER SERVICE CO.-OROVILLE","DISTRICT 21 - VALLEY","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,3553,11045,36051.99932,34.82624572,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","BUTTE  ","SW","SW","Self-produced",9.30982365046113,"HIGH","NONE","HIGH","NONE","No","No","Yes","No","0","0","1","1","1","1","0","0"
"44","CA1010024","CWS - SELMA","DISTRICT 12 - VISALIA","Investor Owned Utility","Class A","Yes","No","None",NA,"None",NA,6470,26456,48830.49215,56.61047938,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","FRESNO  ","GW","GW","Self-produced",10.1832760525563,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
